ip/domain,反查域名,百度权重,移动权重,360权重,搜狗权重,谷歌权重
123.56.228.24,cnluyu.com,0,0,0,0,0
121.41.77.9,hbczyizhong.cn,0,0,0,0,0
121.41.77.9,hbczyizhong.com,0,0,0,0,0
117.34.13.40,wwe6.com,1,1,1,0,0
117.34.13.40,huainanjf.com,0,0,0,0,0
117.34.13.40,bossed.com.cn,0,0,0,0,0
117.34.13.40,5yls.com,0,0,0,0,0
117.34.13.40,ht-sim.com,0,0,0,0,0
117.34.13.40,mirrorcn.com,1,1,1,1,0
117.34.13.40,hktzkt.com,0,0,0,0,0
117.34.13.40,huizanyun.cn,0,0,0,0,0
117.34.13.40,a5600.com,0,0,0,0,0
117.34.13.40,01abc.com,0,0,0,0,0
117.34.13.40,wenshidao.cn,0,0,0,0,0
117.34.13.40,0431e.com,0,0,0,0,0
117.34.13.40,alldel.com,0,0,0,0,0
117.34.13.40,chinacpw.com,0,0,0,0,0
117.34.13.40,zzsck.com,0,0,0,0,0
117.34.13.40,028jiulong.com,0,0,0,0,0
117.34.13.40,89335.com,0,0,0,0,1
117.34.13.40,hechaocheng.cn,0,0,0,0,0
117.34.13.40,dongfangtech.net,0,0,0,0,0
117.34.13.40,hycquanwudingzhi.com,0,0,0,0,0
117.34.13.40,8r9.cn,0,0,0,0,0
117.34.13.40,kkeeyy.com.cn,0,0,0,0,0
117.34.13.40,meinvzhan.com,0,0,0,0,0
117.34.13.40,gritworld.cn,0,0,0,0,0
117.34.13.40,131318.com,0,0,0,0,0
117.34.13.40,yoyuz.com,0,0,0,0,0
117.34.13.40,nyskl.org,0,0,0,0,0
117.34.13.40,ra17.cn,0,0,0,0,0
117.34.13.40,liuyangxxw.com,0,0,0,0,0
117.34.13.40,cnu9.com,0,0,0,0,0
117.34.13.40,zsb024.com,0,0,0,0,0
117.34.13.40,108qi.com,5,6,1,3,4
117.34.13.40,51rohs.com,0,0,0,0,0
117.34.13.40,styletv.com.cn,0,0,0,0,0
117.34.13.40,yugugu.com,0,0,0,0,0
117.34.13.40,cslmwyt.com,0,0,0,0,0
117.34.13.40,shbear.com,0,0,0,0,0
117.34.13.40,zhengxingshanghai.com,0,0,0,0,0
117.34.13.40,zhangmei.com,0,0,0,0,0
117.34.13.40,guhantai.com,0,1,0,1,4
117.34.13.40,eduxyw.com,0,0,0,0,0
103.40.163.198,china9y.com,0,0,0,0,0
103.40.163.198,zrt520.com,0,0,0,0,0
119.28.42.94,tzxcc.com,0,0,0,0,0
119.28.42.94,jshygf.com,0,0,0,0,0
119.28.42.94,188w.cn,0,0,0,0,0
119.28.42.94,szxinuo.com,0,0,0,0,0
119.28.42.94,gzhengshun.com,0,0,0,0,0
119.28.42.94,cic-traders.com,0,0,0,0,0
119.28.42.94,94kk.net,0,0,0,0,0
119.28.42.94,bhxfcs.com,0,0,0,0,0
119.28.42.94,cmn100.com,0,0,0,0,0
104.21.13.113,734hs.com,0,0,0,0,0
104.21.13.113,740hs.com,0,0,0,0,0
104.21.13.113,709hs.com,0,0,0,0,0
104.21.13.113,711hs.com,0,0,0,0,0
104.21.13.113,736hs.com,0,0,0,0,0
104.21.13.113,710hs.com,0,0,0,0,0
104.21.13.113,731hs.com,0,0,0,0,0
104.21.13.113,718hs.com,0,0,0,0,0
104.21.13.113,676hs.com,0,0,0,0,0
104.21.13.113,705hs.com,0,0,0,0,0
104.21.13.113,741hs.com,0,0,0,0,0
104.21.13.113,721hs.com,0,0,0,0,0
104.21.13.113,737hs.com,0,0,0,0,0
104.21.13.113,sealmodel.com,0,0,0,0,0
104.21.13.113,728hs.com,0,0,0,0,0
104.21.13.113,732hs.com,0,0,0,0,0
104.21.13.113,bossup.co.th,0,0,0,0,0
104.21.13.113,95994433.com,0,0,0,0,0
104.21.13.113,6526155.vip,0,0,0,0,0
104.21.13.113,clhnb.com,0,0,0,0,0
173.82.236.232,gzspfz.com,0,0,0,0,0
119.28.3.109,zjgys.com.cn,0,0,0,0,0
119.28.3.109,toptextile.net.cn,0,0,0,0,0
119.28.3.109,caiqin-telecom.com,0,0,0,0,0
119.28.3.109,zjghuadian.com,0,0,0,0,0
119.28.3.109,hongyujixie.com,0,0,0,0,0
118.122.142.33,sca.edu.cn,2,3,1,1,0
47.111.27.215,ldzpfb.com,0,0,0,0,0
47.111.27.215,lczygy.cn,0,0,0,0,0
47.101.203.149,xinwujixie.com,0,0,0,0,0
47.101.203.149,jinyichuan.com,0,0,0,0,0
47.101.203.149,sanqinpmj.com,0,0,0,0,0
211.149.237.162,cnjiesheng.com,0,0,0,0,0
211.149.237.162,xy92.com,0,0,0,0,0
211.149.237.162,sincerd.com,0,0,0,0,0
211.149.237.162,90vn.com,0,0,0,0,0
211.149.237.162,8479514.com,0,0,0,0,0
211.149.237.162,sxgmsykj.com,0,0,0,0,0
211.149.237.162,hj998.com.cn,0,0,0,0,0
211.149.237.162,137t.com,0,0,0,0,0
211.149.237.162,sjgmv.com,0,0,0,0,0
211.149.237.162,gaolusi.com,0,0,0,0,0
211.149.237.162,gotoftp1.com,0,0,0,0,0
211.149.237.162,cdyht.com,0,0,0,0,0
211.149.237.162,dxygs.com,0,0,0,0,0
211.149.237.162,jnhycnc.com,0,0,0,0,0
211.149.237.162,coding25.com,0,0,0,0,0
211.149.237.162,16lai.com,0,0,0,0,0
211.149.237.162,qjvps.com,0,0,0,0,0
211.149.237.162,mmwanhe.com,0,0,0,0,0
